Train EER: 10.6336%, Threshold: 0.4023, mindcf-0.01: 0.7095, mindcf-0.001: 0.8694, mix: 6.5588. 
Train EER: 8.9461%, Threshold: 0.3358, mindcf-0.01: 0.6166, mindcf-0.001: 0.7534, mix: 4.1555. 
Train EER: 8.5409%, Threshold: 0.3806, mindcf-0.01: 0.5997, mindcf-0.001: 0.7896, mix: 4.0446. 
Train EER: 7.2057%, Threshold: 0.3401, mindcf-0.01: 0.5502, mindcf-0.001: 0.7124, mix: 2.8242. 
Train EER: 6.8319%, Threshold: 0.3505, mindcf-0.01: 0.5145, mindcf-0.001: 0.7085, mix: 2.4905. 
Train EER: 6.6465%, Threshold: 0.3097, mindcf-0.01: 0.5856, mindcf-0.001: 0.6592, mix: 2.5655. 
Train EER: 6.4581%, Threshold: 0.3872, mindcf-0.01: 0.5337, mindcf-0.001: 0.6945, mix: 2.3937. 
Train EER: 6.0445%, Threshold: 0.3593, mindcf-0.01: 0.5008, mindcf-0.001: 0.5581, mix: 1.6895. 
Train EER: 6.8399%, Threshold: 0.3706, mindcf-0.01: 0.5528, mindcf-0.001: 0.6336, mix: 2.3956. 
Train EER: 5.9252%, Threshold: 0.3213, mindcf-0.01: 0.5113, mindcf-0.001: 0.6379, mix: 1.9324. 
Train EER: 5.9930%, Threshold: 0.3230, mindcf-0.01: 0.4981, mindcf-0.001: 0.5825, mix: 1.7386. 
Train EER: 9.0510%, Threshold: 0.4354, mindcf-0.01: 0.6663, mindcf-0.001: 0.7347, mix: 4.4311. 
Train EER: 5.9968%, Threshold: 0.3528, mindcf-0.01: 0.5187, mindcf-0.001: 0.6903, mix: 2.1474. 
Train EER: 6.3285%, Threshold: 0.3364, mindcf-0.01: 0.4955, mindcf-0.001: 0.6324, mix: 1.9831. 
Train EER: 4.6686%, Threshold: 0.2511, mindcf-0.01: 0.4214, mindcf-0.001: 0.5094, mix: 1.0022. 
Train EER: 4.8515%, Threshold: 0.2518, mindcf-0.01: 0.4319, mindcf-0.001: 0.5169, mix: 1.0829. 
Train EER: 4.8834%, Threshold: 0.2616, mindcf-0.01: 0.4546, mindcf-0.001: 0.5494, mix: 1.2196. 
Train EER: 4.7004%, Threshold: 0.2570, mindcf-0.01: 0.4291, mindcf-0.001: 0.5068, mix: 1.0221. 
Train EER: 4.7334%, Threshold: 0.2510, mindcf-0.01: 0.4082, mindcf-0.001: 0.4933, mix: 0.9531. 
Train EER: 4.7961%, Threshold: 0.2649, mindcf-0.01: 0.4560, mindcf-0.001: 0.5884, mix: 1.2868. 
Train EER: 4.9152%, Threshold: 0.2624, mindcf-0.01: 0.4146, mindcf-0.001: 0.5449, mix: 1.1105. 
Train EER: 4.5591%, Threshold: 0.2451, mindcf-0.01: 0.4203, mindcf-0.001: 0.5077, mix: 0.9727. 
Train EER: 4.6434%, Threshold: 0.2427, mindcf-0.01: 0.4253, mindcf-0.001: 0.4896, mix: 0.9668. 
Train EER: 4.4938%, Threshold: 0.2424, mindcf-0.01: 0.4200, mindcf-0.001: 0.5001, mix: 0.9438. 
Train EER: 4.6769%, Threshold: 0.2424, mindcf-0.01: 0.4146, mindcf-0.001: 0.4910, mix: 0.9519. 
Train EER: 4.6050%, Threshold: 0.2429, mindcf-0.01: 0.4172, mindcf-0.001: 0.5105, mix: 0.9807. 
Train EER: 4.5891%, Threshold: 0.2419, mindcf-0.01: 0.4086, mindcf-0.001: 0.4936, mix: 0.9256. 
Train EER: 4.6193%, Threshold: 0.2413, mindcf-0.01: 0.4029, mindcf-0.001: 0.4899, mix: 0.9116. 
Train EER: 4.5573%, Threshold: 0.2441, mindcf-0.01: 0.4138, mindcf-0.001: 0.5197, mix: 0.9800. 
Train EER: 4.6193%, Threshold: 0.2442, mindcf-0.01: 0.4228, mindcf-0.001: 0.4888, mix: 0.9547. 
Train EER: 4.6129%, Threshold: 0.2412, mindcf-0.01: 0.4104, mindcf-0.001: 0.4985, mix: 0.9438. 
Train EER: 4.5411%, Threshold: 0.2434, mindcf-0.01: 0.4069, mindcf-0.001: 0.4978, mix: 0.9198.
